date,code,name,route,entry,close,confirmation_date,primary_key_date,primary_key_high,primary_key_low,volume_ratio,extension_30ma_pct,ret_5d,ret_10d,ret_20d,mfe_20d,mae_20d
2026-05-07,1101,台泥,主結構關鍵K突破,25.4,25.5,2026-04-30,2026-05-06,25.4,24.1,1.31,4.91,-3.35,-4.72,-3.74,1.18,-6.89
2026-09-01,1101,台泥,主結構關鍵K突破,25.0,25.3,2026-08-19,2026-08-20,25.0,24.1,1.92,4.07,-2.8,-4.4,-4.4,1.6,-4.4
2026-07-02,1210,大成,主結構關鍵K突破,56.0,57.6,2026-06-05,2026-06-10,56.0,54.5,1.39,6.12,1.79,3.39,0.0,6.25,-0.36
2026-07-02,1210,大成,主結構關鍵K突破,56.0,57.6,2026-06-24,2026-06-25,56.0,54.9,1.39,6.12,1.79,3.39,0.0,6.25,-0.36
2026-07-06,1216,統一,主結構關鍵K突破,75.6,77.8,2026-06-09,2026-06-11,75.6,74.4,1.54,4.77,3.84,5.29,-2.25,6.75,-4.23
2026-07-06,1216,統一,主結構關鍵K突破,76.4,77.8,2026-06-22,2026-06-25,76.4,74.6,1.54,4.77,2.75,4.19,-3.27,5.63,-5.24
2026-07-08,1216,統一,主結構關鍵K突破,78.4,78.6,2026-07-02,2026-07-06,78.4,76.4,1.41,5.16,0.77,-1.79,-6.89,2.93,-7.65
2026-07-20,1216,統一,主結構關鍵K突破,80.0,80.3,2026-07-15,2026-07-17,80.0,78.5,1.66,5.29,-3.63,-8.75,-6.0,0.37,-9.5
2026-07-03,1227,佳格,主結構關鍵K突破,29.55,30.0,2026-06-22,2026-06-25,29.55,29.05,1.47,4.38,1.86,2.03,-2.03,3.72,-3.21
2026-07-06,1227,佳格,主結構關鍵K突破,30.25,30.65,2026-07-02,2026-07-03,30.25,29.35,1.64,6.37,-1.32,-0.17,-5.12,1.32,-5.79
2026-07-16,1231,聯華食,主結構關鍵K突破,89.4,91.9,2026-06-05,2026-06-05,89.4,86.9,2.66,4.83,2.91,-8.28,-9.73,4.59,-11.63
2026-07-16,1231,聯華食,主結構關鍵K突破,89.5,91.9,2026-06-11,2026-06-12,89.5,87.5,2.66,4.83,2.79,-8.38,-9.83,4.47,-11.73
2026-07-16,1231,聯華食,主結構關鍵K突破,88.0,91.9,2026-06-17,2026-06-23,88.0,86.8,2.66,4.83,4.55,-6.82,-8.3,6.25,-10.23
2026-07-16,1231,聯華食,主結構關鍵K突破,89.2,91.9,2026-06-30,2026-07-03,89.2,87.4,2.66,4.83,3.14,-8.07,-9.53,4.82,-11.43
2026-08-07,1303,南亞,主結構關鍵K突破,166.5,188.0,2026-06-26,2026-06-30,166.5,157.0,1.24,3.76,24.62,15.32,35.44,50.15,3.6
2026-06-05,1307,三芳,主結構關鍵K突破,34.2,34.3,2026-06-03,2026-06-03,34.2,32.95,1.73,7.64,7.46,6.43,-3.07,11.99,-4.68
2026-07-03,1307,三芳,主結構關鍵K突破,35.2,35.8,2026-07-02,2026-07-02,35.2,34.15,1.82,4.45,-8.1,-10.51,-10.94,-1.42,-14.77
2026-07-02,1308,亞聚,主結構關鍵K突破,14.3,14.45,2026-06-18,2026-06-18,14.3,13.75,1.56,5.73,2.45,0.35,-12.24,18.88,-14.34
2026-08-12,1319,東陽,主結構關鍵K突破,79.0,79.2,2026-08-10,2026-08-11,79.0,76.8,1.23,6.2,3.42,4.18,0.76,8.86,-1.14
2026-06-03,1402,遠東新,主結構關鍵K突破,27.2,27.3,2026-05-21,2026-05-21,27.2,26.65,1.58,4.56,1.65,5.88,4.41,7.72,-2.94
2026-08-20,1402,遠東新,主結構關鍵K突破,28.05,29.2,2026-08-19,2026-08-19,28.05,27.3,2.08,6.77,1.25,3.74,0.18,9.27,-0.53
2026-06-04,1476,儒鴻,主結構關鍵K突破,353.0,363.5,2026-06-01,2026-06-01,353.0,339.0,1.39,7.09,-2.55,-7.37,-8.36,3.12,-12.89
