signal_date,code,name,breakout_date,pattern_key,group,confluence,confluence_categories,confluence_evidence,pivot,stop_price,return_3d_unrestricted,exit_3d_unrestricted,exit_reason_3d_unrestricted,return_5d_unrestricted,exit_5d_unrestricted,exit_reason_5d_unrestricted,return_3d_cap_5pct,exit_3d_cap_5pct,exit_reason_3d_cap_5pct,return_5d_cap_5pct,exit_5d_cap_5pct,exit_reason_5d_cap_5pct,return_3d_cap_2pct,exit_3d_cap_2pct,exit_reason_3d_cap_2pct,return_5d_cap_2pct,exit_5d_cap_2pct,exit_reason_5d_cap_2pct,return_3d_cap_1pct,exit_3d_cap_1pct,exit_reason_3d_cap_1pct,return_5d_cap_1pct,exit_5d_cap_1pct,exit_reason_5d_cap_1pct
2026-07-15,1210,大成,2026-07-02,1210|2026-07-02|56.0,B,True,2,結構：突破K實體下緣55.80；均線：20MA 56.33、30MA 55.74,56.0,55.44,-0.012959930037964473,57.6423,持有3日,-0.0249344196215594,56.943,持有5日,-0.012959930037964473,57.6423,持有3日,-0.0249344196215594,56.943,持有5日,,,,,,,,,,,,
2026-07-15,1708,東鹼,2026-07-02,1708|2026-07-02|55.9,C,False,0,僅原突破樞紐,55.9,55.34,-0.04245879106401795,55.2447,停損,-0.04245879106401795,55.2447,停損,-0.04245879106401795,55.2447,停損,-0.04245879106401795,55.2447,停損,,,,,,,,,,,,
2026-07-20,1709,和益,2026-07-13,1709|2026-07-13|25.45,B,True,1,結構：突破跳空缺口上緣25.70,25.45,25.2,0.022237812071390195,27.1728,持有3日,-0.024740028556890614,25.924,持有5日,0.022237812071390195,27.1728,持有3日,-0.024740028556890614,25.924,持有5日,,,,,,,,,,,,
2026-08-27,1808,潤隆,2026-08-21,1808|2026-08-21|34.5,B,True,2,結構：突破K實體下緣34.65；均線：10MA 34.69,34.5,34.16,-0.055916564974736405,34.1258,停損,-0.055916564974736405,34.1258,停損,-0.055916564974736405,34.1258,停損,-0.055916564974736405,34.1258,停損,,,,,,,,,,,,
2026-09-08,1808,潤隆,2026-08-20,1808|2026-08-20|33.85,B,True,2,結構：突破K實體下緣33.60；均線：30MA 33.90,33.85,33.51,-0.013554828407299824,34.4156,持有3日,-0.040470894047275,33.4765,停損,-0.013554828407299824,34.4156,持有3日,-0.040470894047275,33.4765,停損,,,,,,,,,,,,
2026-07-20,1810,和成,2026-07-14,1810|2026-07-14|26.5,B,True,2,結構：突破跳空缺口上緣26.65；均線：10MA 26.65,26.5,26.23,0.08961745777252417,30.7192,持有3日,-0.07054744984151828,26.2038,停損,,,,,,,,,,,,,,,,,,
2026-07-30,1810,和成,2026-07-03,1810|2026-07-03|23.0,C,False,0,僅原突破樞紐,23.0,22.77,-0.0018148423302896122,24.8751,持有3日,-0.017849945264742706,24.4755,持有5日,,,,,,,,,,,,,,,,,,
2026-08-13,2006,東和鋼鐵,2026-08-06,2006|2026-08-06|82.9,B,True,1,均線：10MA 83.12,82.9,82.07,-0.04539794193122304,81.9879,停損,-0.04539794193122304,81.9879,停損,-0.04539794193122304,81.9879,停損,-0.04539794193122304,81.9879,停損,,,,,,,,,,,,
2026-08-12,2027,大成鋼,2026-08-06,2027|2026-08-06|45.5,B,True,1,均線：10MA 45.33,45.5,45.05,0.022857725844629417,49.95,持有3日,0.022857725844629417,49.95,持有5日,,,,,,,,,,,,,,,,,,
2026-08-19,2027,大成鋼,2026-08-13,2027|2026-08-13|47.8,B,True,2,結構：突破K實體下緣48.50、突破跳空缺口上緣48.00；均線：10MA 48.10,47.8,47.32,0.012015433950676169,50.949,持有3日,-0.007828005930709536,49.95,持有5日,0.012015433950676169,50.949,持有3日,-0.007828005930709536,49.95,持有5日,,,,,,,,,,,,
