date,code,name,route,entry,close,key_date,key_high,key_low,support_lower,support_upper,volume_ratio,extension_pct,ret_5d,ret_10d,ret_20d,mfe_20d,mae_20d
2026-05-07,1101,台泥,30MA回踩,25.4,25.5,2026-05-06,25.4,24.1,24.1,24.78,1.31,4.91,-3.35,-4.72,-3.74,1.18,-6.89
2026-09-01,1101,台泥,30MA回踩,24.45,25.3,2026-08-31,24.45,24.05,24.05,24.42,1.92,4.07,-0.61,0.2,0.2,3.89,-1.02
2026-06-10,1210,大成,30MA回踩,54.7,55.4,2026-06-08,54.7,53.2,52.86,53.2,2.02,4.67,0.73,1.83,4.2,8.78,-0.37
2026-07-02,1210,大成,30MA回踩,56.0,57.6,2026-06-25,56.0,54.9,55.0,55.19,1.39,6.12,1.79,3.39,0.0,6.25,-0.36
2026-07-06,1216,統一,30MA回踩,76.4,77.8,2026-06-25,76.4,74.6,74.6,75.22,1.54,4.77,2.75,4.19,-3.27,5.63,-5.24
2026-07-08,1216,統一,強勢20MA續強,78.4,78.6,2026-07-06,78.4,76.4,74.6,75.22,1.41,3.84,0.77,-1.79,-6.89,2.93,-7.65
2026-07-09,1216,統一,30MA回踩,76.4,78.4,2026-06-25,76.4,74.6,74.6,75.22,1.22,4.51,4.71,1.31,-0.92,5.63,-5.24
2026-07-13,1216,統一,強勢20MA續強,78.4,78.5,2026-07-06,78.4,76.4,74.6,75.22,1.3,3.24,2.42,-1.66,-3.7,2.93,-7.65
2026-07-03,1227,佳格,30MA回踩,28.95,30.0,2026-06-16,28.95,28.7,29.02,29.1,1.47,4.38,3.97,4.15,0.0,5.87,-1.21
2026-07-06,1227,佳格,強勢20MA續強,30.25,30.65,2026-07-03,30.25,29.35,29.02,29.1,1.64,5.27,-1.32,-0.17,-5.12,1.32,-5.79
2026-05-05,1303,南亞,強勢20MA續強,92.5,94.0,2026-04-28,92.5,88.6,83.34,88.0,1.4,7.47,-3.68,-11.68,21.62,27.57,-13.08
2026-07-02,1304,台聚,強勢20MA續強,13.8,14.1,2026-07-01,13.8,13.45,13.19,13.2,1.84,6.98,-2.9,-3.26,-18.48,14.49,-21.01
2026-09-01,1305,華夏,30MA回踩,12.55,12.6,2026-08-31,12.55,12.0,11.8,12.0,2.16,6.75,-3.19,-3.19,-3.19,3.59,-4.78
2026-06-02,1307,三芳,30MA回踩,32.55,33.15,2026-06-01,32.55,30.8,30.8,31.66,1.6,4.83,6.3,14.9,5.38,17.67,0.15
2026-06-03,1307,三芳,強勢20MA續強,33.2,34.0,2026-06-02,33.2,32.15,30.8,31.66,2.56,6.92,5.42,8.73,5.42,15.36,-1.81
2026-07-02,1308,亞聚,強勢20MA續強,14.3,14.45,2026-07-01,14.3,13.95,13.65,13.8,1.56,4.69,2.45,0.35,-12.24,18.88,-14.34
2026-05-21,1402,遠東新,30MA回踩,26.75,27.2,2026-05-20,26.75,26.05,26.05,26.25,1.68,3.51,-7.29,2.99,7.85,9.53,-12.9
2026-09-02,1409,新纖,30MA回踩,25.1,25.35,2026-08-27,25.1,24.2,23.7,24.34,1.67,7.27,6.97,-2.59,-2.59,6.97,-4.38
2026-06-23,1449,佳和,強勢20MA續強,14.4,15.0,2026-06-22,14.4,14.2,13.75,13.79,1.69,7.78,-1.04,-1.04,-11.11,7.64,-14.58
2026-06-04,1476,儒鴻,強勢20MA續強,356.5,363.5,2026-06-02,356.5,347.5,339.0,339.2,1.39,6.29,-3.51,-8.27,-9.26,2.1,-13.74
2026-07-21,1476,儒鴻,30MA回踩,339.0,343.5,2026-07-16,339.0,327.0,327.0,333.27,1.41,3.76,0.0,4.57,-8.41,8.55,-8.7
2026-07-30,1476,儒鴻,30MA回踩,341.5,352.0,2026-07-27,341.5,333.0,328.0,335.9,2.36,6.63,6.73,-4.39,-8.05,7.76,-12.01
2026-06-17,1503,士電,強勢20MA續強,227.0,236.5,2026-06-15,227.0,223.0,211.0,217.18,1.35,6.53,7.27,4.85,-14.54,10.57,-15.42
2026-09-01,1503,士電,30MA回踩,203.5,208.5,2026-08-31,203.5,198.0,198.0,200.45,2.09,4.5,0.49,-0.74,-0.74,5.65,-1.72
2026-05-28,1513,中興電,強勢20MA續強,160.0,165.5,2026-05-25,160.0,155.5,153.38,153.5,2.82,6.11,16.87,2.5,9.69,25.63,-3.12
2026-05-28,1514,亞力,強勢20MA續強,125.0,125.5,2026-05-25,125.0,121.5,117.7,118.0,2.9,4.78,19.6,-5.6,-5.2,19.6,-8.8
2026-05-04,1519,華城,30MA回踩,905.0,917.0,2026-04-30,905.0,862.0,862.0,865.53,1.84,6.0,1.77,-11.16,-3.87,4.09,-14.92
