signal_date,first_notified_at,code,name,route,stage,baseline_entry,pivot,stop_price,risk_pct,volume_ratio,breakout_date,status,entry_basis,notification_version,horizon,exit_date,exit_close,return_pct,win,stop_touched_through_horizon,outcome_status
2026-09-23,2026-09-23T16:38:29+08:00,1514,亞力,N字底,B點當日突破,105.0,103.0,100.5,4.29,1.82,2026-09-23,試單區內（待風險驗證）,signal_day_close_paper,combined-top5-v1,5,,,,,,未到期
2026-09-23,2026-09-23T16:38:29+08:00,1514,亞力,N字底,B點當日突破,105.0,103.0,100.5,4.29,1.82,2026-09-23,試單區內（待風險驗證）,signal_day_close_paper,combined-top5-v1,10,,,,,,未到期
2026-09-23,2026-09-23T16:38:29+08:00,1514,亞力,N字底,B點當日突破,105.0,103.0,100.5,4.29,1.82,2026-09-23,試單區內（待風險驗證）,signal_day_close_paper,combined-top5-v1,20,,,,,,未到期
2026-09-23,2026-09-23T16:38:29+08:00,3013,晟銘電,N字底,B點當日突破,84.3,83.2,81.5,3.32,1.65,2026-09-23,試單區內（待風險驗證）,signal_day_close_paper,combined-top5-v1,5,,,,,,未到期
2026-09-23,2026-09-23T16:38:29+08:00,3013,晟銘電,N字底,B點當日突破,84.3,83.2,81.5,3.32,1.65,2026-09-23,試單區內（待風險驗證）,signal_day_close_paper,combined-top5-v1,10,,,,,,未到期
2026-09-23,2026-09-23T16:38:29+08:00,3013,晟銘電,N字底,B點當日突破,84.3,83.2,81.5,3.32,1.65,2026-09-23,試單區內（待風險驗證）,signal_day_close_paper,combined-top5-v1,20,,,,,,未到期
2026-09-23,2026-09-23T16:38:29+08:00,3532,台勝科,N字底,B點當日突破,445.0,438.5,429.5,3.48,1.57,2026-09-23,試單區內（待風險驗證）,signal_day_close_paper,combined-top5-v1,5,,,,,,未到期
2026-09-23,2026-09-23T16:38:29+08:00,3532,台勝科,N字底,B點當日突破,445.0,438.5,429.5,3.48,1.57,2026-09-23,試單區內（待風險驗證）,signal_day_close_paper,combined-top5-v1,10,,,,,,未到期
2026-09-23,2026-09-23T16:38:29+08:00,3532,台勝科,N字底,B點當日突破,445.0,438.5,429.5,3.48,1.57,2026-09-23,試單區內（待風險驗證）,signal_day_close_paper,combined-top5-v1,20,,,,,,未到期
2026-09-23,2026-09-23T16:38:29+08:00,2368,金像電,N字底,B點當日突破,1140.0,1130.0,1105.0,3.07,1.55,2026-09-23,試單區內（待風險驗證）,signal_day_close_paper,combined-top5-v1,5,,,,,,未到期
2026-09-23,2026-09-23T16:38:29+08:00,2368,金像電,N字底,B點當日突破,1140.0,1130.0,1105.0,3.07,1.55,2026-09-23,試單區內（待風險驗證）,signal_day_close_paper,combined-top5-v1,10,,,,,,未到期
2026-09-23,2026-09-23T16:38:29+08:00,2368,金像電,N字底,B點當日突破,1140.0,1130.0,1105.0,3.07,1.55,2026-09-23,試單區內（待風險驗證）,signal_day_close_paper,combined-top5-v1,20,,,,,,未到期
2026-09-23,2026-09-23T16:38:29+08:00,8046,南電,N字底,B點當日突破,1210.0,1180.0,1155.0,4.55,1.54,2026-09-23,試單區內（待風險驗證）,signal_day_close_paper,combined-top5-v1,5,,,,,,未到期
2026-09-23,2026-09-23T16:38:29+08:00,8046,南電,N字底,B點當日突破,1210.0,1180.0,1155.0,4.55,1.54,2026-09-23,試單區內（待風險驗證）,signal_day_close_paper,combined-top5-v1,10,,,,,,未到期
2026-09-23,2026-09-23T16:38:29+08:00,8046,南電,N字底,B點當日突破,1210.0,1180.0,1155.0,4.55,1.54,2026-09-23,試單區內（待風險驗證）,signal_day_close_paper,combined-top5-v1,20,,,,,,未到期
2026-09-23,2026-09-23T17:11:47+08:00,6531,愛普*,N字底,B點當日突破,987.0,980.0,960.0,2.74,1.53,2026-09-23,試單區內（待風險驗證）,signal_day_close_paper,combined-top10-v1,5,,,,,,未到期
2026-09-23,2026-09-23T17:11:47+08:00,6531,愛普*,N字底,B點當日突破,987.0,980.0,960.0,2.74,1.53,2026-09-23,試單區內（待風險驗證）,signal_day_close_paper,combined-top10-v1,10,,,,,,未到期
2026-09-23,2026-09-23T17:11:47+08:00,6531,愛普*,N字底,B點當日突破,987.0,980.0,960.0,2.74,1.53,2026-09-23,試單區內（待風險驗證）,signal_day_close_paper,combined-top10-v1,20,,,,,,未到期
2026-09-23,2026-09-23T17:11:47+08:00,6196,帆宣,N字底,B點當日突破,549.0,538.0,527.0,4.01,1.39,2026-09-23,試單區內（待風險驗證）,signal_day_close_paper,combined-top10-v1,5,,,,,,未到期
2026-09-23,2026-09-23T17:11:47+08:00,6196,帆宣,N字底,B點當日突破,549.0,538.0,527.0,4.01,1.39,2026-09-23,試單區內（待風險驗證）,signal_day_close_paper,combined-top10-v1,10,,,,,,未到期
2026-09-23,2026-09-23T17:11:47+08:00,6196,帆宣,N字底,B點當日突破,549.0,538.0,527.0,4.01,1.39,2026-09-23,試單區內（待風險驗證）,signal_day_close_paper,combined-top10-v1,20,,,,,,未到期
2026-09-23,2026-09-23T17:11:47+08:00,3693,營邦,N字底,B點當日突破,732.0,715.0,700.0,4.37,1.33,2026-09-23,試單區內（待風險驗證）,signal_day_close_paper,combined-top10-v1,5,,,,,,未到期
2026-09-23,2026-09-23T17:11:47+08:00,3693,營邦,N字底,B點當日突破,732.0,715.0,700.0,4.37,1.33,2026-09-23,試單區內（待風險驗證）,signal_day_close_paper,combined-top10-v1,10,,,,,,未到期
2026-09-23,2026-09-23T17:11:47+08:00,3693,營邦,N字底,B點當日突破,732.0,715.0,700.0,4.37,1.33,2026-09-23,試單區內（待風險驗證）,signal_day_close_paper,combined-top10-v1,20,,,,,,未到期
2026-09-23,2026-09-23T17:11:47+08:00,2317,鴻海,N字底,B點當日突破,256.0,254.5,249.0,2.73,1.22,2026-09-23,試單區內（待風險驗證）,signal_day_close_paper,combined-top10-v1,5,,,,,,未到期
2026-09-23,2026-09-23T17:11:47+08:00,2317,鴻海,N字底,B點當日突破,256.0,254.5,249.0,2.73,1.22,2026-09-23,試單區內（待風險驗證）,signal_day_close_paper,combined-top10-v1,10,,,,,,未到期
