date,code,name,route,stage,close,entry_lower,entry_upper,entry_excess_pct,stop_price,stop_distance_pct,risk_ok,within_entry,line_eligible,selected,exclusion_reasons
2026-09-23,6196,帆宣,破底翻,頸線當日突破,549.0,,,,515.0,6.19,1,0,0,0,破底翻：僅突破頸線，尚未符合正式結構買點
2026-09-23,1514,亞力,N字底,B點當日突破,105.0,104.0,106.0,,100.5,4.29,1,1,1,1,
2026-09-23,3013,晟銘電,N字底,B點當日突破,84.3,83.7,85.6,,81.5,3.32,1,1,1,1,
2026-09-23,3037,欣興,N字底,B點當日突破,1160.0,1130.0,1150.0,0.8696,1095.0,5.6,1,0,0,0,超出試單區上緣0.87%（上緣1150）
2026-09-23,3532,台勝科,N字底,B點當日突破,445.0,441.0,451.5,,429.5,3.48,1,1,1,1,
2026-09-23,2368,金像電,N字底,B點當日突破,1140.0,1140.0,1160.0,,1105.0,3.07,1,1,1,1,
2026-09-23,8046,南電,N字底,B點當日突破,1210.0,1190.0,1215.0,,1155.0,4.55,1,1,1,1,
2026-09-23,6531,愛普*,N字底,B點當日突破,987.0,985.0,1005.0,,960.0,2.74,1,1,1,1,
2026-09-23,6196,帆宣,N字底,B點當日突破,549.0,541.0,554.0,,527.0,4.01,1,1,1,1,
2026-09-23,3653,健策,N字底,B點當日突破,6410.0,6010.0,6155.0,4.143,5860.0,8.58,1,0,0,0,超出試單區上緣4.14%（上緣6155）
2026-09-23,3693,營邦,N字底,B點當日突破,732.0,719.0,736.0,,700.0,4.37,1,1,1,1,
2026-09-23,2317,鴻海,N字底,B點當日突破,256.0,256.0,262.0,,249.0,2.73,1,1,1,1,
2026-09-23,2408,南亞科,N字底,B點當日突破,515.0,505.0,517.0,,491.5,4.56,1,1,1,1,
