date,code,name,market,stage,close,a_low,b_neckline,c_low,invalidation,volume_ratio,avg20_lots,avg20_turnover,entry_lower,entry_upper,stop_price,entry_status,entry_fail_reasons,structure_zone_lower,structure_zone_upper,structure_zone_source
2026-09-24,6533,晶心科,上市,突破B點｜當日收盤確認,276.0,187.5,273.0,224.0,221.76,2.23,2106.0,550473944.0,274.5,281.0,267.5,正式試單,,,,
2026-09-24,3189,景碩,上市,突破B點｜當日收盤確認,962.0,653.0,932.0,766.0,758.34,1.84,20285.0,17394957505.0,937.0,959.0,913.0,僅觀察,收盤超出試單區上緣,,,
2026-09-24,1514,亞力,上市,接近B點,102.0,90.2,103.0,98.2,97.22,2.08,1377.0,142397465.0,104.0,106.0,100.5,僅觀察,,,,
2026-09-24,2368,金像電,上市,接近B點,1105.0,915.0,1130.0,950.0,940.5,1.44,9228.0,10083927821.0,1140.0,1160.0,1105.0,僅觀察,,,,
2026-09-24,6182,合晶,上櫃,接近B點,120.5,82.1,122.5,100.0,99.0,1.2,53351.0,6071515334.0,123.5,126.0,120.0,僅觀察,,,,
2026-09-24,6531,愛普*,上市,接近B點,993.0,828.0,995.0,887.0,878.13,1.15,3576.0,3431312033.0,1000.0,1020.0,975.0,僅觀察,,,,
2026-09-24,8064,東捷,上櫃,接近B點,139.0,96.6,141.5,108.0,106.92,1.07,10609.0,1331414887.0,142.5,145.5,138.5,僅觀察,,,,
2026-09-24,2317,鴻海,上市,接近B點,250.5,242.5,256.5,243.5,241.06,1.06,31368.0,7895344385.0,258.0,264.0,251.0,僅觀察,,,,
2026-09-24,8046,南電,上市,接近B點,1240.0,792.0,1265.0,1010.0,999.9,1.04,12332.0,14120967232.0,1275.0,1300.0,1235.0,僅觀察,,,,
2026-09-24,3037,欣興,上市,接近B點,1185.0,653.0,1200.0,873.0,864.27,1.01,22779.0,22624312805.0,1210.0,1235.0,1175.0,僅觀察,,,,
2026-09-24,3689,湧德,上櫃,接近B點,110.5,100.5,113.5,104.5,103.45,0.99,1062.0,122026910.0,114.5,116.5,111.0,僅觀察,,,,
2026-09-24,4938,和碩,上市,接近B點,91.3,80.0,91.5,87.3,86.43,0.99,9008.0,820932460.0,92.0,94.2,89.6,僅觀察,,,,
2026-09-24,4979,華星光,上櫃,接近B點,563.0,320.5,561.0,495.0,490.05,0.99,7259.0,4399622782.0,564.0,577.0,549.0,僅觀察,,,,
