date,code,name,close,near_high_20_pct,range20_pct,range40_pct,compression_ratio,volume_lots,avg20_lots,avg20_turnover,volume_vs_avg20,volume_note,trend_note,stage,action
2026-09-22,6278,台表科,213.5,0.0,19.27,66.8,0.289,14196,5116,1017687407,2.77,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,3443,創意,8375.0,0.0,50.36,163.78,0.307,711,1942,12215619886,0.37,當日量縮,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,7792,安葆,378.0,0.0,35.24,110.58,0.319,2185,560,182992952,3.9,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,2030,彰源,27.25,0.0,23.3,64.16,0.363,11043,3136,75135198,3.52,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,8996,高力,1655.0,0.0,45.18,113.82,0.397,5781,4174,5381688534,1.38,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,2033,佳大,37.3,0.0,63.96,155.48,0.411,1366,2007,57160150,0.68,當日量縮,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,3016,嘉晶,132.5,0.0,36.46,82.26,0.443,30369,11782,1329590598,2.58,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,3219,倚強科,108.5,0.0,46.42,103.56,0.448,2822,1063,97595576,2.65,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,3707,漢磊,69.5,0.0,20.45,43.74,0.468,19868,4544,287972951,4.37,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,2221,大甲,154.0,0.0,128.15,265.8,0.482,1745,5496,545751214,0.32,當日量縮,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,3055,蔚華科,206.5,0.0,78.79,135.19,0.583,8151,4944,744305949,1.65,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,3691,碩禾,110.5,0.0,22.1,37.57,0.588,2196,458,46547841,4.79,較前5日均量增加,收盤未高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,3293,鈊象,727.0,-0.41,6.26,17.32,0.361,1163,3217,2303049368,0.36,當日量縮,收盤未高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,1809,中釉,40.6,-0.73,13.61,50.0,0.272,3770,1370,53189273,2.75,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,8021,尖點,477.0,-0.83,20.7,68.77,0.301,13223,7850,3506190317,1.68,較前5日均量增加,收盤高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
2026-09-22,3592,瑞鼎,228.5,-0.87,6.22,14.52,0.429,366,348,77398413,1.05,較前5日均量增加,收盤未高於60MA,接近20日高點（未確認完整VCP）,僅初期觀察；非完整VCP、非買點；等待獨立正式VCP階段確認
